"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Census Region"	"Census Region Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"41 years"	"41"	"2011"	"2011"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	116	140819	82.4
	"41 years"	"41"	"2011"	"2011"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	418	292708	142.8
	"41 years"	"41"	"2011"	"2011"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	70	51437	136.1
	"41 years"	"41"	"2011"	"2011"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	667	310257	215.0
	"41 years"	"41"	"2011"	"2011"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	39	33907	115.0
	"41 years"	"41"	"2011"	"2011"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	1000	401272	249.2
	"41 years"	"41"	"2011"	"2011"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	201	136403	147.4
	"41 years"	"41"	"2011"	"2011"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1703	630326	270.2
	"41 years"	"41"	"2011"	"2011"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	240	148120	162.0
	"41 years"	"41"	"2011"	"2011"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	698	307303	227.1
	"41 years"	"41"	"2012"	"2012"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	38	51984	73.1
	"41 years"	"41"	"2012"	"2012"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	390	306158	127.4
	"41 years"	"41"	"2012"	"2012"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	30	30666	97.8
	"41 years"	"41"	"2012"	"2012"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	578	398738	145.0
	"41 years"	"41"	"2012"	"2012"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	98	132011	74.2
	"41 years"	"41"	"2012"	"2012"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1253	651216	192.4
	"41 years"	"41"	"2012"	"2012"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	117	140029	83.6
	"41 years"	"41"	"2012"	"2012"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	390	281124	138.7
	"41 years"	"41"	"2012"	"2012"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	99	50916	194.4
	"41 years"	"41"	"2012"	"2012"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	597	293996	203.1
	"41 years"	"41"	"2012"	"2012"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	50	34016	147.0
	"41 years"	"41"	"2012"	"2012"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	949	394865	240.3
	"41 years"	"41"	"2012"	"2012"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	209	137166	152.4
	"41 years"	"41"	"2012"	"2012"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1848	628741	293.9
	"41 years"	"41"	"2012"	"2012"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	241	143913	167.5
	"41 years"	"41"	"2012"	"2012"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	660	295303	223.5
	"41 years"	"41"	"2013"	"2013"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	46	49604	92.7
	"41 years"	"41"	"2013"	"2013"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	373	276992	134.7
	"41 years"	"41"	"2013"	"2013"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	22	31589	69.6
	"41 years"	"41"	"2013"	"2013"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	554	367651	150.7
	"41 years"	"41"	"2013"	"2013"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	121	136288	88.8
	"41 years"	"41"	"2013"	"2013"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1134	610945	185.6
	"41 years"	"41"	"2013"	"2013"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	131	139107	94.2
	"41 years"	"41"	"2013"	"2013"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	354	254984	138.8
	"41 years"	"41"	"2013"	"2013"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	97	50037	193.9
	"41 years"	"41"	"2013"	"2013"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	544	267480	203.4
	"41 years"	"41"	"2013"	"2013"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	52	34646	150.1
	"41 years"	"41"	"2013"	"2013"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	884	364463	242.5
	"41 years"	"41"	"2013"	"2013"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	205	141734	144.6
	"41 years"	"41"	"2013"	"2013"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1704	587547	290.0
	"41 years"	"41"	"2013"	"2013"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	227	141718	160.2
	"41 years"	"41"	"2013"	"2013"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	600	269150	222.9
	"42 years"	"42"	"1999"	"1999"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	43	34610	124.2
	"42 years"	"42"	"1999"	"1999"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	630	390284	161.4
	"42 years"	"42"	"1999"	"1999"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	15	15656	Unreliable
	"42 years"	"42"	"1999"	"1999"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	775	500133	155.0
	"42 years"	"42"	"1999"	"1999"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	91	69401	131.1
	"42 years"	"42"	"1999"	"1999"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1473	705093	208.9
	"42 years"	"42"	"1999"	"1999"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	124	88005	140.9
	"42 years"	"42"	"1999"	"1999"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	524	349933	149.7
	"42 years"	"42"	"1999"	"1999"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	121	32943	367.3
	"42 years"	"42"	"1999"	"1999"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	1042	377622	275.9
	"42 years"	"42"	"1999"	"1999"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	39	18124	215.2
	"42 years"	"42"	"1999"	"1999"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	1312	491352	267.0
	"42 years"	"42"	"1999"	"1999"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	192	73328	261.8
	"42 years"	"42"	"1999"	"1999"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	2525	684920	368.7
	"42 years"	"42"	"1999"	"1999"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	241	92249	261.2
	"42 years"	"42"	"1999"	"1999"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	981	356978	274.8
	"42 years"	"42"	"2000"	"2000"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	64	36188	176.9
	"42 years"	"42"	"2000"	"2000"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	638	393660	162.1
	"42 years"	"42"	"2000"	"2000"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	15	17082	Unreliable
	"42 years"	"42"	"2000"	"2000"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	818	500211	163.5
	"42 years"	"42"	"2000"	"2000"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	81	73287	110.5
	"42 years"	"42"	"2000"	"2000"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1428	707587	201.8
	"42 years"	"42"	"2000"	"2000"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	124	92559	134.0
	"42 years"	"42"	"2000"	"2000"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	567	348231	162.8
	"42 years"	"42"	"2000"	"2000"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	129	34794	370.8
	"42 years"	"42"	"2000"	"2000"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	1053	381205	276.2
	"42 years"	"42"	"2000"	"2000"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	45	19547	230.2
	"42 years"	"42"	"2000"	"2000"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	1309	491158	266.5
	"42 years"	"42"	"2000"	"2000"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	192	78234	245.4
	"42 years"	"42"	"2000"	"2000"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	2546	686736	370.7
	"42 years"	"42"	"2000"	"2000"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	235	97082	242.1
	"42 years"	"42"	"2000"	"2000"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	974	354973	274.4
	"42 years"	"42"	"2001"	"2001"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	44	38528	114.2
	"42 years"	"42"	"2001"	"2001"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	627	390027	160.8
	"42 years"	"42"	"2001"	"2001"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	22	17954	122.5
	"42 years"	"42"	"2001"	"2001"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	807	490420	164.6
	"42 years"	"42"	"2001"	"2001"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	82	77711	105.5
	"42 years"	"42"	"2001"	"2001"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1524	702309	217.0
	"42 years"	"42"	"2001"	"2001"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	122	96154	126.9
	"42 years"	"42"	"2001"	"2001"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	600	338116	177.5
	"42 years"	"42"	"2001"	"2001"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	113	36670	308.2
	"42 years"	"42"	"2001"	"2001"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	1031	375596	274.5
	"42 years"	"42"	"2001"	"2001"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	37	20608	179.5
	"42 years"	"42"	"2001"	"2001"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	1341	482620	277.9
	"42 years"	"42"	"2001"	"2001"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	186	83051	224.0
	"42 years"	"42"	"2001"	"2001"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	2536	679211	373.4
	"42 years"	"42"	"2001"	"2001"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	229	100512	227.8
	"42 years"	"42"	"2001"	"2001"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	992	344744	287.7
	"42 years"	"42"	"2002"	"2002"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	63	42512	148.2
	"42 years"	"42"	"2002"	"2002"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	651	395176	164.7
	"42 years"	"42"	"2002"	"2002"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	19	20118	Unreliable
	"42 years"	"42"	"2002"	"2002"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	864	499565	173.0
	"42 years"	"42"	"2002"	"2002"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	88	86691	101.5
	"42 years"	"42"	"2002"	"2002"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1625	722127	225.0
	"42 years"	"42"	"2002"	"2002"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	120	105879	113.3
	"42 years"	"42"	"2002"	"2002"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	575	350950	163.8
	"42 years"	"42"	"2002"	"2002"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	116	41265	281.1
	"42 years"	"42"	"2002"	"2002"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	1065	385015	276.6
	"42 years"	"42"	"2002"	"2002"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	54	23783	227.1
	"42 years"	"42"	"2002"	"2002"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	1401	491856	284.8
	"42 years"	"42"	"2002"	"2002"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	197	93817	210.0
	"42 years"	"42"	"2002"	"2002"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	2561	702807	364.4
	"42 years"	"42"	"2002"	"2002"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	292	112902	258.6
	"42 years"	"42"	"2002"	"2002"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	1064	361658	294.2
	"42 years"	"42"	"2003"	"2003"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	71	41569	170.8
	"42 years"	"42"	"2003"	"2003"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	644	388240	165.9
	"42 years"	"42"	"2003"	"2003"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	27	20254	133.3
	"42 years"	"42"	"2003"	"2003"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	863	491801	175.5
	"42 years"	"42"	"2003"	"2003"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	92	88952	103.4
	"42 years"	"42"	"2003"	"2003"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1589	714173	222.5
	"42 years"	"42"	"2003"	"2003"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	131	105413	124.3
	"42 years"	"42"	"2003"	"2003"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	597	342738	174.2
	"42 years"	"42"	"2003"	"2003"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	124	40136	308.9
	"42 years"	"42"	"2003"	"2003"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	1011	375249	269.4
	"42 years"	"42"	"2003"	"2003"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	49	22498	217.8
	"42 years"	"42"	"2003"	"2003"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	1349	481132	280.4
	"42 years"	"42"	"2003"	"2003"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	224	94074	238.1
	"42 years"	"42"	"2003"	"2003"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	2635	687414	383.3
	"42 years"	"42"	"2003"	"2003"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	296	110013	269.1
	"42 years"	"42"	"2003"	"2003"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	1009	347806	290.1
	"42 years"	"42"	"2004"	"2004"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	57	42787	133.2
	"42 years"	"42"	"2004"	"2004"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	610	376516	162.0
	"42 years"	"42"	"2004"	"2004"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	14	20941	Unreliable
	"42 years"	"42"	"2004"	"2004"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	812	476946	170.2
	"42 years"	"42"	"2004"	"2004"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	87	93906	92.6
	"42 years"	"42"	"2004"	"2004"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1584	704789	224.7
	"42 years"	"42"	"2004"	"2004"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	125	109818	113.8
	"42 years"	"42"	"2004"	"2004"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	607	333850	181.8
	"42 years"	"42"	"2004"	"2004"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	109	41483	262.8
	"42 years"	"42"	"2004"	"2004"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	983	364316	269.8
	"42 years"	"42"	"2004"	"2004"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	46	23957	192.0
	"42 years"	"42"	"2004"	"2004"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	1251	468569	267.0
	"42 years"	"42"	"2004"	"2004"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	252	98938	254.7
	"42 years"	"42"	"2004"	"2004"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	2557	678396	376.9
	"42 years"	"42"	"2004"	"2004"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	302	116166	260.0
	"42 years"	"42"	"2004"	"2004"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	979	340304	287.7
	"42 years"	"42"	"2005"	"2005"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	60	44675	134.3
	"42 years"	"42"	"2005"	"2005"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	600	368915	162.6
	"42 years"	"42"	"2005"	"2005"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	23	21753	105.7
	"42 years"	"42"	"2005"	"2005"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	816	466263	175.0
	"42 years"	"42"	"2005"	"2005"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	111	99492	111.6
	"42 years"	"42"	"2005"	"2005"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1609	703964	228.6
	"42 years"	"42"	"2005"	"2005"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	125	113273	110.4
	"42 years"	"42"	"2005"	"2005"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	539	326342	165.2
	"42 years"	"42"	"2005"	"2005"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	114	42871	265.9
	"42 years"	"42"	"2005"	"2005"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	1029	355787	289.2
	"42 years"	"42"	"2005"	"2005"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	41	24422	167.9
	"42 years"	"42"	"2005"	"2005"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	1278	458013	279.0
	"42 years"	"42"	"2005"	"2005"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	235	103715	226.6
	"42 years"	"42"	"2005"	"2005"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	2523	676332	373.0
	"42 years"	"42"	"2005"	"2005"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	284	118551	239.6
	"42 years"	"42"	"2005"	"2005"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	977	329980	296.1
	"42 years"	"42"	"2006"	"2006"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	55	46850	117.4
	"42 years"	"42"	"2006"	"2006"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	604	368445	163.9
	"42 years"	"42"	"2006"	"2006"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	18	23256	Unreliable
	"42 years"	"42"	"2006"	"2006"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	733	457206	160.3
	"42 years"	"42"	"2006"	"2006"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	116	105198	110.3
	"42 years"	"42"	"2006"	"2006"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1636	705770	231.8
	"42 years"	"42"	"2006"	"2006"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	138	118964	116.0
	"42 years"	"42"	"2006"	"2006"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	520	317268	163.9
	"42 years"	"42"	"2006"	"2006"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	95	44863	211.8
	"42 years"	"42"	"2006"	"2006"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	922	355263	259.5
	"42 years"	"42"	"2006"	"2006"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	53	26205	202.3
	"42 years"	"42"	"2006"	"2006"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	1276	452757	281.8
	"42 years"	"42"	"2006"	"2006"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	242	110624	218.8
	"42 years"	"42"	"2006"	"2006"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	2488	679028	366.4
	"42 years"	"42"	"2006"	"2006"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	320	125452	255.1
	"42 years"	"42"	"2006"	"2006"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	898	323951	277.2
	"42 years"	"42"	"2007"	"2007"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	38	47394	80.2
